provider,cell,query_count,correct_count,estimate,ci_low,ci_high,unit,method
brave,BLIND,54,11,20.37037037037037,11.773934086585381,32.90256172265917,percent,Wilson 95%
brave,MISSED,27,11,40.74074074074074,24.514513372857344,59.27361694463591,percent,Wilson 95%
brave,NOOP,16,0,0.0,0.0,19.361341827271993,percent,Wilson 95%
brave,SMART,3,3,100.0,43.84939195509823,100.0,percent,Wilson 95%
firecrawl,BLIND,72,18,25.0,16.438921125325756,36.09372586524407,percent,Wilson 95%
firecrawl,MISSED,13,7,53.84615384615385,29.14343243183205,76.79424569851186,percent,Wilson 95%
firecrawl,NOOP,12,0,0.0,0.0,24.25007574992425,percent,Wilson 95%
firecrawl,SMART,3,1,33.33333333333333,6.14903152761605,79.23450448735122,percent,Wilson 95%
tavily,BLIND,67,16,23.88059701492537,15.268010510617858,35.325990754175706,percent,Wilson 95%
tavily,MISSED,13,7,53.84615384615385,29.14343243183205,76.79424569851186,percent,Wilson 95%
tavily,NOOP,17,1,5.88235294117647,1.046013064516424,26.9825452035628,percent,Wilson 95%
tavily,SMART,3,1,33.33333333333333,6.14903152761605,79.23450448735122,percent,Wilson 95%
